"Tabell 4A. Döda 2017 efter underliggande dödsorsak enligt ICD:s detaljlista, kön och ålder. Antal",,,,,,,,,,,,,,,,,,,,,,,
"Deaths 2017 by underlying cause of death (ICD detailed list), sex and age. Number.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Ålder,Ålder,,,,,,,,,,,,,,,,,,,
P75–P78,"Sjukdomar i matsmältningsorganen hos foster och nyfödd",Kv,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P76.0,Mekoniumpluggsyndrom,Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P77,"Nekrotiserande enterokolit (tarminflammation med vävnadsdöd) hos foster och nyfödd",Kv,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P78.0,"Tarmperforation hos foster och nyfödd",M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P78.8,"Andra specificerade sjukdomar i matsmältningsorganen hos foster och nyfödd",Kv,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P80–P83,"Tillstånd som engagerar hud och temperaturreglering hos foster och nyfödd",Kv,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P83.2,"Hydrops fetalis som ej beror på hemolytisk sjukdom",Kv,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P90–P96,"Andra sjukdomar och rubbningar under den perinatala perioden",M,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P94.2,"Medfödd muskelhypotoni",M,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Q00 – Q99","KAP XVII. MEDFÖDDA MISSBILDNINGAR, DEFORMITETER OCH KROMOSOMAVVIKELSER",Kv,132,30,5,2,7,3,2,5,3,2,3,8,7,7,15,9,10,6,4,4,-
,,M,162,26,6,2,2,2,6,4,7,5,8,7,5,16,25,21,11,6,1,1,1
Q00–Q07,"Medfödda missbildningar av nervsystemet",Kv,21,6,-,1,3,1,1,2,-,-,1,2,1,1,1,1,-,-,-,-,-
,,M,10,2,-,-,-,-,2,1,-,-,2,1,-,-,2,-,-,-,-,-,-
Q00.0,Anencefali,Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q01.9,"Encefalocele, ospecificerat",M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q02,"Mikrocefali (liten hjärna)",Kv,4,1,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
,,M,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q03.1,"Atresi av foramina Magendi och Luschkae",Kv,2,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q03.9,"Medfödd hydrocefalus, ospecificerad",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
,,M,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Q04.3,"Andra missbildningar i form av reducerad hjärnvävnad",Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q04.6,"Medfödda cerebrala cystor",Kv,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Q04.9,"Medfödd missbildning av hjärnan, ospecificerad",Kv,7,2,-,-,2,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-
,,M,3,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
Q05.9,"Spina bifida, ospecificerad",Kv,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-
Q07.0,"Arnold-Chiaris syndrom",Kv,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Q07.9,"Medfödd missbildning i nervsystemet, ospecificerad",Kv,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q20–Q28,"Medfödda missbildningar av cirkulationsorganen",Kv,35,9,1,1,1,-,-,2,-,1,1,4,3,-,1,2,6,1,1,1,-
,,M,42,8,1,2,1,-,1,1,3,2,3,3,-,2,5,4,1,3,1,-,1
Q20.0,"Truncus communis",Kv,2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Q20.1,"Dubbelt utflöde från höger kammare",M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q20.2,"Dubbelt utflöde från vänster kammare",Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q20.3,"Diskordant ventrikulo-arteriell förbindelse",Kv,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
,,M,2,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Q20.8,"Andra specificerade medfödda missbildningar av hjärtats kamrar och förbindelser",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Q21.0,Kammarseptumdefekt,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,3,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-
Q21.1,Förmaksseptumdefekt,Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-
,,M,3,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
Q21.2,"Atrioventrikulär septumdefekt",Kv,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q21.3,"Fallots tetrad",Kv,3,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-
,,M,3,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-
Q21.8,"Andra specificerade medfödda missbildningar av hjärtskiljeväggar",Kv,3,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Q22.5,"Ebsteins anomali",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Q23.0,"Medfödd aortaklaffstenos",Kv,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1
Q23.1,"Medfödd aortaklaffinsufficiens",Kv,2,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
,,M,2,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
Q23.4,"Hypoplastiskt vänsterkammarsyndrom",Kv,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q24.5,Kranskärlsmissbildning,M,2,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-
Q24.8,"Andra specificerade medfödda hjärtmissbildningar",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Q24.9,"Medfödd hjärtmissbildning, ospecificerad",Kv,8,4,-,1,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-
,,M,9,2,1,1,-,-,1,-,1,-,-,-,-,2,-,-,-,1,-,-,-
Q25.0,"Öppetstående ductus arteriosus",M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q25.1,"Coarctatio aortae",M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q25.4,"Andra medfödda missbildningar av aorta",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Q25.6,"Stenos av lungartären",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Q26.2,"Totalt anomalt mynnande lungvener",M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q26.8,"Andra specificerade medfödda missbildningar av de stora venerna",Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q27.9,"Medfödd missbildning av det perifera kärlsystemet, ospecificerad",Kv,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Q28.3,"Andra missbildningar av cerebrala kärl",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
Q28.8,"Andra specificerade medfödda missbildningar av cirkulationsorganen",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Q30–Q34,"Medfödda missbildningar av andningsorganen",Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Q33.0,"Medfödd cystlunga",M,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Q34.9,"Medfödd missbildning av andningsorganen, ospecificerad",Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q38–Q45,"Andra medfödda missbildningar av matsmältningsorganen",Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,6,-,2,-,-,1,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-
Q41.1,"Medfödd avsaknad, atresi och stenos av jejunum",Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q41.9,"Medfödd avsaknad, atresi och stenos av icke specificerad del av tunntarmen",M,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q43.1,"Hirschsprungs sjukdom",M,2,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Q43.3,"Medfödd missbildning av tarmfästet",M,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q44.2,"Atresi av gallgångar",M,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q44.7,"Andra medfödda missbildningar av levern",M,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Q60–Q64,"Medfödda missbildningar av urinorganen",Kv,13,2,1,-,-,-,-,-,-,-,-,-,1,-,1,1,1,3,1,2,-
,,M,14,1,-,-,-,-,-,-,-,-,-,-,1,1,1,3,4,2,-,1,-
Q60.0,"Njuragenesi, ensidig",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
Q60.1,"Njuragenesi, dubbelsidig",Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q60.2,"Njuragenesi, ospecificerad",Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q61.0,"Medfödd enstaka njurcysta",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Q61.3,"Polycystisk njure, ospecificerad",Kv,8,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,3,1,1,-
,,M,11,-,-,-,-,-,-,-,-,-,-,-,1,1,1,3,3,2,-,-,-
Q61.9,"Cystisk njursjukdom, ospecificerad",Kv,3,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-
,,M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q65–Q79,"Medfödda missbildningar och deformiteter av muskler och skelett",Kv,10,2,-,-,-,1,1,1,2,-,-,-,1,-,1,-,-,-,-,1,-
,,M,9,3,-,-,1,-,1,-,-,1,-,1,-,-,1,-,1,-,-,-,-
Q67.8,"Andra medfödda deformiteter av bröstkorgen",Kv,3,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-
Q74.3,"Arthrogryposis multiplex congenita",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Q75.8,"Andra specificerade medfödda missbildningar av skallben och ansiktsben",M,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q77.3,"Chondrodysplasia punctata",Kv,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q78.0,"Osteogenesis imperfecta",Kv,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
,,M,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Q78.2,Osteopetros,M,2,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Q78.8,"Andra specificerade osteokondrodysplasier",Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q79.0,"Medfött diafragmabråck",Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q79.1,"Andra medfödda missbildningar av diafragma",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Q79.4,"Prune belly syndrome",Kv,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Q79.6,"Ehlers-Danlos syndrom",Kv,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Q79.8,"Andra medfödda missbildningar av muskler och skelett",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Q80–Q89,"Andra medfödda missbildningar",Kv,16,2,1,-,2,1,-,-,-,1,1,1,-,-,1,1,1,2,2,-,-
,,M,18,4,1,-,-,-,1,-,3,2,2,-,1,2,1,-,1,-,-,-,-
Q82.8,"Andra specificerade medfödda missbildningar av huden",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Q85.0,Neurofibromatos,Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,3,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-
Q85.8,"Andra specificerade fakomatoser som ej klassificeras annorstädes",M,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Q85.9,"Fakomatos, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Q87.1,"Medfödda missbildningssyndrom som främst är förenade med kortväxthet",Kv,4,1,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
,,M,2,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-
Q87.4,"Marfans syndrom",Kv,3,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,4,-,-,-,-,-,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-
Q87.8,"Andra specificerade medfödda missbildningssyndrom som ej klassificeras annorstädes",Kv,6,1,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,1,-,-,-
,,M,2,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Q89.0,"Medfödda missbildningar av mjälten",M,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q89.7,"Multipla medfödda missbildningar som ej klassificeras annorstädes",M,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Q89.9,"Medfödd missbildning, ospecificerad",Kv,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q90–Q99,"Kromosomavvikelser som ej klassificeras annorstädes",Kv,35,7,2,-,1,-,-,-,1,-,-,1,1,6,10,4,2,-,-,-,-
,,M,61,7,2,-,-,1,-,1,1,-,-,2,3,11,15,14,3,1,-,-,-
Q90.9,"Downs syndrom, ospecificerat",Kv,25,-,-,-,-,-,-,-,1,-,-,1,1,6,10,4,2,-,-,-,-
,,M,54,3,-,-,-,-,-,1,1,-,-,2,3,11,15,14,3,1,-,-,-
Q91.3,"Trisomi 18, ospecificerad",Kv,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q91.7,"Trisomi 13, ospecificerad",Kv,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q93.4,"Deletion av korta armen av kromosom 5",Kv,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q93.5,"Andra deletioner av del av kromosom",M,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q97.8,"Andra specificerade könskromosomavvikelser och kvinnlig fenotyp",Kv,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Q99.8,"Andra specificerade kromosomavvikelser",Kv,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,3,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"R00 – R99","KAP XVIII. SYMTOM, SJUKDOMSTECKEN OCH ONORMALA FYND SOM EJ KLASSIFICERAS ANNORSTÄDES",Kv,1 589,11,3,3,-,1,5,3,5,6,7,10,13,17,29,56,87,98,131,264,840
,,M,1 195,16,2,1,-,3,11,12,9,19,26,32,49,45,71,104,131,122,124,153,265
R00–R09,"Symtom och sjukdomstecken från cirkulationsorganen och andningsorganen",Kv,13,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,3,3,4
,,M,14,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,2,2,2,1,4
R00.1,"Bradykardi, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
R02,"Gangrän som ej klassificeras annorstädes",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
R06.0,Dyspné,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
R06.8,"Andra och icke specificerade andningsrubbningar",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
R07.4,"Bröstsmärtor, ospecificerade",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
R09.0,Asfyxi,M,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-
R09.2,Andningsstillestånd,Kv,9,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,2,2,3
,,M,7,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,2,1,1,-
R09.8,"Andra specificerade symtom och sjukdomstecken från cirkulations- och andningsorganen",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
R10–R19,"Symtom och sjukdomstecken från matsmältningsorganen och buken",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1
,,M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
R10.0,"Akut buk",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
R10.4,"Andra och icke specificerade smärtor i buken",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
R18,"Ascites (vätska i buken)",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
R19.8,"Andra specificerade symtom och sjukdomstecken från matsmältningsorganen och buken",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
R30–R39,"Symtom och sjukdomstecken från urinorganen",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
R31,"Icke specificerad hematuri (blod i urinen)",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
R40–R46,"Symtom och sjukdomstecken avseende intellektuella funktioner, uppfattningsförmåga, känsloläge och beteende",Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2
R41.0,"Desorientering, ospecificerad",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
R41.8,"Andra och icke specificerade symtom och sjukdomstecken som engagerar uppfattningsförmåga och varseblivning",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2
,,M,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2
R50–R69,"Allmänna symtom och sjukdomstecken",Kv,925,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,6,23,38,154,699
,,M,326,-,-,-,-,-,-,-,-,-,1,2,2,-,3,5,6,14,30,69,194
R53,"Sjukdomskänsla och trötthet",Kv,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,10,48
,,M,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,4,11
R54,Senilitet,Kv,649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,17,97,528
,,M,204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,12,41,147
R56.8,"Andra och icke specificerade kramper",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
R57.0,"Kardiogen chock",Kv,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
R57.1,"Hypovolemisk chock",M,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-
R57.9,"Chock, ospecificerad",Kv,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,5,12,28
,,M,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,2,11,8
R58,"Blödning som ej klassificeras annorstädes",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
R59.9,"Lymfkörtelförstoring, ospecificerad",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
R63.0,Anorexi,Kv,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,3
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
R63.3,"Dåliga matvanor",Kv,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,3
,,M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
R63.6,"Otillräckligt intag av föda och vatten på grund av självförsummelse",M,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
R64,Utmärgling,Kv,29,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,3,3,21
,,M,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
R68.8,"Andra specificerade generella symtom och sjukdomstecken",Kv,123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,11,11,29,66
,,M,65,-,-,-,-,-,-,-,-,-,-,2,2,-,2,3,4,5,12,12,23
R95–R99,"Ofullständigt definierade och okända orsaker till död",Kv,642,11,3,3,-,1,5,3,4,5,7,10,13,17,29,52,80,74,90,101,134
,,M,847,16,2,1,-,3,11,12,9,19,24,30,46,45,67,99,123,106,90,82,62
R95.0,"Plötslig spädbarnsdöd med uppgift om obduktion",Kv,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,M,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R98,"Obevittnad död",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
R99.0,"Dödsorsaken ej fastställbar",Kv,88,-,-,1,-,1,2,-,1,1,2,5,2,5,7,13,18,12,7,6,5
,,M,150,-,1,-,-,1,2,4,4,4,6,9,11,10,19,24,21,15,13,2,4
R99.8,"Uppgift om dödsorsak saknas",Kv,171,-,1,-,-,-,1,2,2,2,3,5,2,8,13,18,27,18,25,21,23
,,M,325,1,-,-,-,1,6,6,3,10,11,15,23,21,24,42,48,51,32,16,15
R99.9,"Andra ofullständigt definierade och icke specificerade orsaker till död",Kv,378,6,2,2,-,-,2,1,1,2,2,-,9,4,9,21,35,44,58,74,106
,,M,360,4,1,1,-,1,3,2,2,5,7,6,12,14,24,33,54,39,45,64,43
"V01 – Y98","KAP XX. YTTRE ORSAKER TILL SJUKDOM OCH DÖD",Kv,1 841,2,4,1,6,22,39,54,54,39,47,70,67,81,73,79,95,121,177,274,536
,,M,3 143,3,5,8,10,61,158,226,172,150,153,145,172,196,179,201,220,221,243,285,335
V01–V09,"Fotgängare skadad i transportolycka",Kv,19,-,-,-,-,-,-,-,-,-,1,-,-,2,-,2,1,4,4,2,3
,,M,30,-,-,2,1,-,4,1,1,2,2,1,1,3,1,3,4,1,-,3,-
V03.1,"Fotgängare skadad i kollision med personbil eller lätt lastbil, trafikolycka",Kv,11,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,2,2,1,3
,,M,14,-,-,1,1,-,1,-,-,2,1,-,-,1,-,2,2,-,-,3,-
V04.1,"Fotgängare skadad i kollision med tung lastbil eller buss, trafikolycka",Kv,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-
,,M,3,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-
V04.9,"Fotgängare skadad i kollision med tung lastbil eller buss, ospecificerat",M,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
V05.0,"Fotgängare skadad i kollision med tåg, ej trafik",M,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
V05.1,"Fotgängare skadad i kollision med tåg, trafikolycka",Kv,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-
,,M,9,-,-,1,-,-,2,1,1,-,-,1,1,1,-,-,-,1,-,-,-
V05.9,"Fotgängare skadad i kollision med tåg, ospecificerat",Kv,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
,,M,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
